"PDB"	"rigid_energy_score.start"	"end."	"rigid_energy_score_refe.start"	"end..1"	"energy_score.start"	"end..2"	"energy_score_refe.start"	"end..3"	"restraining_energy_score.start"	"end..4"	"restraining_energy_score_refe.start"	"end..5"	"energy_score_wo_restraining.start"	"end..6"	"energy_score_refe_wo_restraining.start"	"end..7"	"delta_energy_score_end_flex_minus_rig"
"2GTP"	-5.499	-16.982	-11.999	-17.528	528.954	357.817	423.009	319.082	606.899	448.584	503.71	408.967	-77.945	-90.767	-80.701	-89.885	-73.785
"2HLE"	2071.286	-13.386	-13.375	-20.159	21710.328	3654.523	19338.863	2741.099	19687.462	3642.119	19397.598	2745.791	2022.866	12.404	-58.735	-4.692	25.79
"2HQS"	52383.716	-3.916	-26.403	-30.38	52713.564	382.238	373.383	256.669	393.572	445.43	446.817	334.165	52319.992	-63.192	-73.434	-77.496	-59.276
"2HRK"	954729714775.148	-9.119	-16.917	-20.91	516.037	264.654	364.022	257.62	484.637	360.481	446.961	359.642	31.4	-95.827	-82.939	-102.022	-86.708
"2I25"	3320.995	-15.855	-25.212	-30.567	3497.456	194.624	197.315	128.139	237.306	223.771	236.759	176.783	3260.15	-29.147	-39.444	-48.644	-13.292
"2I9B"	1415253.573	-11.003	-29.8	-34.37	1710.495	302.992	324.096	255.843	451.453	336.786	378.44	317.536	1259.042	-33.794	-54.344	-61.693	-22.791
"2IDO"	1894.693	-14.218	-17.319	-24.233	2211.769	284.912	306.962	259.728	371.352	350.76	368.298	338.41	1840.417	-65.848	-61.336	-78.682	-51.63
"2J0T"	18354.743	-15.347	-18.992	-22.65	343112.673	46172.16	231470.668	28419.965	325017.226	44356.41	231538.084	27243.292	18095.447	1815.75	-67.416	1176.673	1831.097
"2J7P"	337877.302	-0.006	-18.142	-26.728	145427.704	33199.036	59290.615	32160.08	57688.948	33239.205	59413.747	32224.631	87738.756	-40.169	-123.132	-64.551	-40.163
"2JEL"	486.595	-15.984	-23.913	-25.953	1207006.993	367466.345	1212964.131	333477.408	1206556.967	365570.173	1213023.999	330649.488	450.026	1896.172	-59.868	2827.92	1912.156
"2MTA"	-20.365	-23.42	-21.785	-28.14	316.13	185.458	291.655	169.854	400.484	276.227	379.128	271.546	-84.354	-90.769	-87.473	-101.692	-67.349
"2NZ8"	735963.562	-8.822	-32.216	-38.206	77116.252	765.544	280.28	172.961	385.634	474.905	358.382	264.811	76730.618	290.639	-78.102	-91.85	299.461
"2O3B"	-1.418	-18.416	-24.458	-31.673	2654.839	2631.77	2916.568	2902.876	2678.703	2664.151	2959.656	2951.063	-23.864	-32.381	-43.088	-48.187	-13.965
"2O8V"	2648.786	-6.83	-12.975	-15.677	2770.154	94.862	83.534	70.918	146.057	123.613	121.051	114.989	2624.097	-28.751	-37.517	-44.071	-21.921
"2OOB"	51.938	-18.16	-15.213	-18.688	64620.274	1123.182	92076.638	2980.515	64626.357	1099.436	92122.652	2916.681	-6.083	23.746	-46.014	63.834	41.906
"2OOR"	475.63	-26.332	-33.193	-37.057	1011.658	456.887	582.879	437.054	586.086	553.944	692.445	557.734	425.572	-97.057	-109.566	-120.68	-70.725
